"PUBLICATION_NUMBER","PUBLICATION_DATE","IPO_LOCATION","APPLICATION_TYPE_DESC","APPLICATION_NUMBER","DATE_OF_FILING","TITLE_OF_INVENTION","FIELD_OF_INVENTION","NO_OF_PAGES","NO_OF_CLAIMS","DATE_UPDATED_d_m_y"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","1291/DELNP/2010","24/02/2010","""A METHOD FOR LIMITING THE DEACTIVATION OF CATALYSTS DURING CATALYTIC REACTIONS IN MULTI-TUBE REACTORS""","CHEMISTRY","17","15","19/04/2023"
"01/2016","01/01/2016","Delhi","CONVENTION APPLICATION","130/DEL/2004","27/01/2004","""RECEIVER TUBE WITH RECEIVER TUBULAR JACKET AND PARABOLIC TROUGH COLLECTOR CONTAINING SAME""","MECHANICAL","27","22","19/04/2023"
"01/2016","01/01/2016","Mumbai","ORDINARY APPLICATION","1305/MUM/2006","21/08/2006","ROLLER CHAIN SPROCKETS","MECHANICAL","18","6","19/04/2023"
"01/2016","01/01/2016","Delhi","CONVENTION APPLICATION","1343/DEL/2008","04/06/2008","""CONTROL METHOD, RECORDING DEVICE AND RECORDING AND REPRODUCING DEVICE""","ELECTRONICS","118","15","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","1361/KOLNP/2009","13/04/2009","CATHODE FOR ELECTROLYTIC PROCESSES","CHEMISTRY","15","23","19/04/2023"
"01/2016","01/01/2016","Delhi","ORDINARY APPLICATION","1391/DEL/2005","30/05/2005","""DEVICE FOR CONTROLLED OF TEMPERATURE BYPASS""","MECHANICAL","23","10","19/04/2023"
"01/2016","01/01/2016","Mumbai","PCT NATIONAL PHASE APPLICATION","1482/MUMNP/2008","14/07/2008","METHOD AND APPARATUS FOR COMMUNICATING CONTROL INFORMATION","ELECTRONICS","245","68","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","1554/KOLNP/2010","03/05/2010","AN ADSORPTION FILTER MATERIAL","CHEMISTRY","53","8","19/04/2023"
"01/2016","01/01/2016","Kolkata","ORDINARY APPLICATION","1560/KOL/2008","09/09/2008","STEEL FIBRE PROVIDING HIGH POST CRACK STRENGTH AND STRAIN TO CONCRETE","CHEMISTRY","15","6","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","1572/KOLNP/2009","27/04/2009","OXAZEPINBENZAMIDE DERIVATIVES","CHEMISTRY","405","98","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","1670/DELNP/2009","13/03/2009","""A FIBER ORIENTATION CONTROL METHOD AND A PAPER MACHINE""","TEXTILE","65","17","19/04/2023"
"01/2016","01/01/2016","Mumbai","ORDINARY APPLICATION","1672/MUM/2011","07/06/2011","PREPARATION OF NEW CLASS OF ""ANTHRANILATE BASED"" POTENTIAL SUNSCREENS BY SELECTIVE TRANSESTERIFICATION","CHEMISTRY","14","9","19/04/2023"
"01/2016","01/01/2016","Kolkata","ORDINARY APPLICATION","1684/KOL/2008","29/09/2008","A SYSTEM OF OPTIMIZATION OF ENERGY THROUGH CONTROL OF GAS FLOWS IN A PIPELINE NETWORK IN A STEEL PLANT AND METHOD FOR THE SAME","ELECTRONICS","33","9","19/04/2023"
"01/2016","01/01/2016","Mumbai","PCT NATIONAL PHASE APPLICATION","1700/MUMNP/2008","07/08/2008","METHOD AND SYSTEM FOR WIRELESSLY TRANSMITTING CONTROL COMMANDS FOR A CONTROLLER FOR LIFTING GEAR","ELECTRONICS","15","20","19/04/2023"
"01/2016","01/01/2016","Mumbai","PCT NATIONAL PHASE APPLICATION","1733/MUMNP/2008","12/08/2008","WIRELESS COMMUNICATION SYSTEM","COMPUTER","19","8","19/04/2023"
"01/2016","01/01/2016","Delhi","CONVENTION APPLICATION","1751/DEL/2005","06/07/2005","""ONE-PIECE STEEL PISTON""","MECHANICAL","30","26","19/04/2023"
"01/2016","01/01/2016","Delhi","CONVENTION APPLICATION","1760/DEL/2007","20/08/2007","""COVER RELEASE MECHANISM FOR A DISPENSER""","MECHANICAL","14","4","19/04/2023"
"01/2016","01/01/2016","Kolkata","ORDINARY APPLICATION","1779/KOL/2008","21/10/2008","A NEW COUPLING DEVICE FOR DIVIDE SHEARING MACHINE","MECHANICAL","11","5","19/04/2023"
"01/2016","01/01/2016","Delhi","CONVENTION APPLICATION","1799/DEL/2011","24/06/2011","""COALESCENT FOR AQUEOUS COMPOSITIONS""","CHEMISTRY","20","5","19/04/2023"
"01/2016","01/01/2016","Mumbai","ORDINARY APPLICATION","1857/MUM/2009","11/08/2009","“A COMPOSITION COMPRISING PENTAMERIC, TRIMERIC AND TETRAMERIC PROCYANIDIN FLAVONOID AND PROCESS THEREOF”","CHEMISTRY","36","18","19/04/2023"
"01/2016","01/01/2016","Mumbai","PCT NATIONAL PHASE APPLICATION","1880/MUMNP/2008","01/09/2008","APPARATUS AND METHOD  FOR WIDTHWISE ALIGNMENT OF PRECEDING AND SUCCEEDING METAL PLATES","MECHANICAL","32","8","19/04/2023"
"01/2016","01/01/2016","Mumbai","PCT NATIONAL PHASE APPLICATION","1911/MUMNP/2008","04/09/2008","A DECISION FEEDBACK EQUALIZER AND A METHOD FOR RECEIVING A CODE DIVISION MULTIPLEXED SIGNAL","ELECTRONICS","21","22","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","1954/KOLNP/2007","30/05/2007","METHOD TO CONTROL ACCESS BETWEEN NETWORK ENDPOINTS BASED ON TRUST SCORES CALCULATED FROM INFORMATION SYSTEM COMPONENT ANALYSIS.","COMPUTER","28","23","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","1957/DELNP/2007","14/03/2007","""A DRIVE GEAR ASSEMBLY""","MECHANICAL","22","13","19/04/2023"
"01/2016","01/01/2016","Delhi","CONVENTION APPLICATION","1958/DEL/2008","19/08/2008","""CONJOINED INPUT KEYS ADJACENT A NAVIGATION TOOL ON A HANDHELD ELECTRONIC DEVICE""","PHYSICS","33","20","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","2037/DELNP/2009","27/03/2009","""PERIPHERAL SEALING SYSTEM FOR PRE-TENSIONED SCREENS""","CIVIL","24","25","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","2054/DELNP/2009","27/03/2009","""A SHAKER SCREEN ASSEMBLY AND A METHOD THEREOF""","MECHANICAL","28","25","19/04/2023"
"01/2016","01/01/2016","Delhi","ORDINARY APPLICATION","2065/DEL/2006","19/09/2006","'CNS EFFECTIVE THYROTROPIN-RELEASING HORMONE ANALOGS'","CHEMISTRY","33","8","19/04/2023"
"01/2016","01/01/2016","Kolkata","CONVENTION APPLICATION","2076/KOL/2008","28/11/2008","COLD START EMISSION STRATEGY FOR HYBRID VEHICLES","MECHANICAL","22","18","19/04/2023"
"01/2016","01/01/2016","Delhi","CONVENTION APPLICATION","2079/DEL/2004","25/10/2004","""ENGINE AIR BRAKE DEVICE FOR A 4-STROKE RECIPROCATING-PISTON INTERNAL COMBUSTION ENGINE""","MECHANICAL","26","19","19/04/2023"
"01/2016","01/01/2016","Delhi","ORDINARY APPLICATION","2139/DEL/2004","29/10/2004","A DEVICE FOR COOLING AN INDIVIDUAL WORKING IN AN OPEN CAST MINE OR IN SIMILAR CONDITIONS","MECHANICAL","13","5","19/04/2023"
"01/2016","01/01/2016","Mumbai","PCT NATIONAL PHASE APPLICATION","2206/MUMNP/2009","27/11/2009","IMPROVEMENTS RELATING TO PERFUME PARTICLES.","CHEMISTRY","54","10","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","2236/DELNP/2007","22/03/2007","RESOURCE ALLOCATION IN A COMMUNICATION SYSTEM","ELECTRONICS","20","21","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","234/DELNP/2007","09/01/2007","A METHOD FOR ENCODING A VIDEO STREAM","ELECTRONICS","29","23","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","2365/KOLNP/2007","27/06/2007","GLASS BENDING AND COOLING METHOD AND DEVICE COMPRISING TWO SUPPORT TRAINS","MECHANICAL","27","24","19/04/2023"
"01/2016","01/01/2016","Delhi","ORDINARY APPLICATION","2382/DEL/2006","01/11/2006","""CONFORMATIONALLY RESTRICTED A, B- DEHYDROPHENYLALANINE RESIDUE AND ITS USE IN DESIGN OF PEPTIDE NANOTUBES""","BIOCHEMISTRY","16","10","19/04/2023"
"01/2016","01/01/2016","Delhi","ORDINARY APPLICATION","2446/DEL/2008","27/10/2008","A HOMEOPATHIC PREPARATION FOR ICNREASING IMMUNITY OF PLANTS","CHEMISTRY","10","4","19/04/2023"
"01/2016","01/01/2016","Mumbai","PCT NATIONAL PHASE APPLICATION","2448/MUMNP/2008","14/11/2008","RADIO TRANSMISSION DEVICE AND RADIO TRANSMISSION METHOD","ELECTRONICS","61","8","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","2484/DELNP/2011","05/04/2011","""SILSESQUIOXANE COMPOUND HAVING POLYMERIZABLE FUNCTIONAL GROUP""","CHEMISTRY","65","5","19/04/2023"
"01/2016","01/01/2016","Mumbai","ORDINARY APPLICATION","249/MUM/2007","09/02/2007","A MECHANISM TO MOVE AN INTERLOCK POWER CONTACT IN SWITCH BOARD FEEDERS","ELECTRICAL","17","10","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","2516/DELNP/2004","30/08/2004","""AN INHALTER""","BIOMEDICAL","21","3","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","2627/DELNP/2007","09/04/2007","""COMPLEX CONTAINING MEQUITAZINE, A CYCLODEXTRIN AND AN INTERACTION AGENT""","CHEMISTRY","21","14","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","2660/DELNP/2010","19/04/2010","CONTINUOUS CASTING DEVICE FOR PRODUCING PELLETS FROM PLASTIC MATERIAL AND METHOD FOR OPERATING THE SAME","CHEMISTRY","13","12","19/04/2023"
"01/2016","01/01/2016","Delhi","CONVENTION APPLICATION","2711/DEL/2007","26/12/2007","""AN ATTACHING STRUCTURE OF GLASS RUN ""","MECHANICAL","59","14","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","2748/DELNP/2007","12/04/2007","""MACHINE AND PROCESS FOR FILLING CAPSULES OR SIMILAR""","MECHANICAL","26","12","19/04/2023"
"01/2016","01/01/2016","Mumbai","PCT NATIONAL PHASE APPLICATION","280/MUMNP/2007","23/02/2007","METHOD OF MIXING AUDIO CHANNELS USING CORRELATED OUTPUTS","ELECTRONICS","33","29","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","2883/KOLNP/2008","16/07/2008","ADJUSTING A FILTER OF A TIME-CONTINUOUS SIGMA-DELTA CONVERTER","ELECTRICAL","39","30","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","2885/KOLNP/2008","16/07/2008","AIRBONE ONBOARD BASE TRANSCHEIVER STATION FOR MOBILE COMMUNICATION","ELECTRONICS","30","16","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","2962/KOLNP/2009","20/08/2009","X-RAY ANALYSIS INSTRUMENT","PHYSICS","27","13","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","3052/DELNP/2009","08/05/2009","""AQUEOUS THERMOSETTING COMPOSITION""","POLYMER","37","10","19/04/2023"
"01/2016","01/01/2016","Delhi","ORDINARY APPLICATION","315/DEL/2009","18/02/2009","""AN IMPROVED EXTRACTION PROCESS FOR THE ROMOVAL OF HEXAVALENT CHROMIUM FROM WASTE SOLUTIONS""","CHEMISTRY","18","8","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","3180/KOLNP/2007","29/08/2007","APPARATUS FOR CONTROLLING CALORIFIC VALUE OF GAS","CHEMISTRY","85","21","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","3238/KOLNP/2008","07/08/2008","MECHANICAL LOCKING DIFFERENTIAL LOCKOUT MECHANISM","MECHANICAL","40","22","19/04/2023"
"01/2016","01/01/2016","Mumbai","ORDINARY APPLICATION","3259/MUM/2010","29/11/2010","“A PROCESS FOR THE PREPARATION OF ETHANOLIC EXTRACT FROM ALTERNANTHERA BETTZICHIANA""","BIOTECHNOLOGY","40","10","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","3281/DELNP/2009","20/05/2009","""PROCESS FOR PRODUCING ALKENES FROM OXYGENATES BY USING SUPPORTED HETEROPOLYACID CATALYSTS""","CHEMISTRY","33","20","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","3298/KOLNP/2009","16/09/2009","LIQUID CRYSTAL DISPLAY DEVICE","PHYSICS","122","33","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","3638/KOLNP/2009","19/10/2009","METHOD AND APPARATUS FOR TRANSMITTING AND RECEIVING UPLINK CHANNEL SOUNDING REFERENCE SIGNALS IN A WIRELESS COMMUNICATION SYSTEM","ELECTRONICS","29","16","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","3656/DELNP/2009","04/06/2009","""TRIAZOLE FORMULATION""","CHEMISTRY","13","9","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","3674/DELNP/2008","30/04/2008","METHOD FOR PREPARING A  SIALYLLACTOSE CONCENTRATE .","FOOD","21","15","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","3729/KOLNP/2007","03/10/2007","BODY PARAMETER DETECTING SENSOR AND METHOD FOR DETECTING BODY PARAMETERS","BIOMEDICAL","36","3","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","3859/DELNP/2004","06/12/2004","""RECOMBINANT MEASLES VIRUSES EXPRESSING EPITOPES OF ANTIGENS OF RNA VIRUSES-USE FOR THE PREPARATION OF VACCINE COMPOSITIONS""","BIOTECHNOLOGY","137","37","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","3871/DELNP/2007","23/05/2007","""SYSTEMS AND METHODS FOR DETERMINING THE LOCATION OF A PIG IN A PIPELINE""","MECHANICAL","11","31","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","3902/KOLNP/2009","10/11/2009","METHOD FOR PRODUCING A DEVICE COMPRISING A TRANSPONDER ANTENNA CONNECTED TO CONTACT PINS AND DEVICE OBTAINED","ELECTRONICS","31","23","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","4041/DELNP/2009","19/06/2009","""ORDERED MESOPOROUS CARBONS AND METHOD FOR MANUFACTURING SAME""","CHEMISTRY","70","15","19/04/2023"
"01/2016","01/01/2016","Mumbai","PCT NATIONAL PHASE APPLICATION","419/MUMNP/2010","04/03/2010","""A BIOFUEL COMPOSITION CONTAINING OF FRACTIONS OF TRIGLYCERIDES, MONOGLYCERIDES, DIGLYCERIDES AND ALKYL ESTERS OF FATTY ACIDS""","CHEMISTRY","15","22","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","4228/KOLNP/2008","20/10/2008","PROCESS FOR THE ISOLATION AND STABILIZATION OF LOW MOLECULAR WEIGHT AMINOGLYCANS FROM WASTE EGG SHELLS","CHEMISTRY","15","8","19/04/2023"
"01/2016","01/01/2016","Kolkata","ORDINARY APPLICATION","426/KOL/2007","20/03/2007","A POLY HERBAL COMPOSITION FOR WOUND HEALING AND A PROCESS FOR PRODUCING THE SAME","CHEMISTRY","16","4","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","4430/DELNP/2008","23/05/2008","ACTIVIN-ACTRIIA ANTAGONISTS AND USES FOR PROMOTING BONE GROWTH","BIOTECHNOLOGY","93","81","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","4529/DELNP/2006","04/08/2006","""MOULDING OF PLASTICS ARTICLES""","MECHANICAL","94","26","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","4625/DELNP/2010","25/06/2010","COMPOSITION FOR FIXING WOUND ITEMS","CHEMISTRY","19","11","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","463/DELNP/2008","16/01/2008","NOVEL STABILIZED CAROTENOID COMPOSITIONS","FOOD","12","16","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","4800/KOLNP/2007","10/12/2007","IMAGE SENSOR ARCHITECTURE EMPLOYING ONE OR MORE FLOATING GATE DEVICES","ELECTRICAL","30","28","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","4824/KOLNP/2007","11/12/2007","BASE STATION, MOBILE STATION, AND POWER CONTROL METHOD","ELECTRONICS","48","18","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","4861/KOLNP/2010","20/12/2010","A PROCESS FOR PRODUCING SYNGAS","CHEMISTRY","39","26","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","4870/KOLNP/2007","13/12/2007","AN ACETAL COPOLYMER HAVING COVALENTLY ATTACHED THERETO A RADIATION-ABSORBING SEGMENT AND METHOD OF PREPARATION THEREOF","CHEMISTRY","80","61","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","495/DELNP/2008","17/01/2008","CELL-PERMEABLE PEPTIDE INHIBITORS OF THE JNK SIGNAL TRANSDUCTION PATHWAY","BIOCHEMISTRY","87","23","19/04/2023"
"01/2016","01/01/2016","Mumbai","ORDINARY APPLICATION","499/MUM/2007","16/03/2007","A SWITCHING DEVICE WITH ENHANCED SHORT- TIME WITHSTAND PERFORMANCE","ELECTRICAL","30","13","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","5076/KOLNP/2008","12/12/2008","CONTINUOUS POSITIONING APPARATUS AND METHODS","BIOMEDICAL","72","4","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","5349/DELNP/2009","20/08/2009","""CONTINUOUS COATING OF PELLETS""","CHEMISTRY","42","25","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","5425/DELNP/2008","23/06/2008","DR5/HER2 BINDING POLYPEPTIDES","BIOTECHNOLOGY","688","117","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","5438/DELNP/2009","25/08/2009","""INCREASED EFFECTIVENESS OF ALLYLAMINE DRUG COMPOUNDS""","CHEMISTRY","24","16","19/04/2023"
"01/2016","01/01/2016","Delhi","ORDINARY APPLICATION","567/DEL/2002","20/05/2002","""AN INERTIA LOCKING SYSTEM AND A COLLAPSIBLE SEAT WITH THE LOCKING SYSTEM""","MECHANICAL","18","4","19/04/2023"
"01/2016","01/01/2016","Delhi","DIVISIONAL PCT NATIONAL PHASE APPLICATION","5731/DELNP/2007","24/07/2007","""A CONTAINER FOR A FLOWABLE PRODUCT""","MECHANICAL","20","16","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","5786/DELNP/2007","25/07/2007","""A WHEEL CHAIR""","MECHANICAL","28","20","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","6114/DELNP/2007","06/08/2007","PAINTING LINE COMPRISING A DEVICE FOR SEPARATING WET PAINT OVERSPRAY","MECHANICAL","50","30","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","6206/DELNP/2009","29/09/2009","""MELTABLE BINDER FOR MELT GRANULATION AND/OR PELLETIZATION""","CHEMISTRY","19","16","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","6265/DELNP/2008","17/07/2008","MEANS AND METHODS FOR MEDIATING PROTEIN INTERFERENCE","BIOCHEMISTRY","64","15","19/04/2023"
"01/2016","01/01/2016","Delhi","CONVENTION APPLICATION","631/DEL/2009","27/03/2009","""COMPOSITION FOR CELL PERMEABILIZATION COMPRISING NOG, HMP, RUBIDIUM CHLORIDE AND/OR LITHIUM CHLORIDE FOR DETECTING LIVING CELLS ON A MEMBRANE""","CHEMISTRY","37","35","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","6397/DELNP/2007","17/08/2007","""SECURITY ELEMENT FOR PROTECTING VALUABLE ARTICLES""","MECHANICAL","49","44","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","6476/DELNP/2007","21/08/2007","""SUBSTITUTED PYRAZOLOYLAMINOPYRIDINE COMPOUNDS AS KINASE INHIBITORS""","CHEMISTRY","138","30","19/04/2023"
"01/2016","01/01/2016","Mumbai","ORDINARY APPLICATION","650/MUM/2009","20/03/2009","POLY(BEHENYL UNDECYLENATE-CO-MALIC ANHYDRIDE)DIBEHENATE HAVING POUR POINT DEPRESSANT ACTIVITY IN NON-EDIBLE OIL AND PROCESS FOR PREPARATION THEREOF","CHEMISTRY","17","13","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","654/DELNP/2010","01/02/2010","“Process for producing 3-chloro-N- (3-chloro-5-trifluoromethyl-2-pyridyl) -alpha, alpha, alpha-trifluoro-2, 6-dinitro-p-toluidine”","CHEMISTRY","30","26","19/04/2023"
"01/2016","01/01/2016","Delhi","CONVENTION APPLICATION","662/DEL/2004","01/04/2004","""HIGHLY HEAT-RESISTANT LAMINATED COMPONENT FOR A FUSION REACTOR""","MECHANICAL","14","6","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","6888/DELNP/2006","17/11/2006","""ELECTRICAL UMBRELLA AND CANOPY MECHANISM""","MECHANICAL","49","26","19/04/2023"
"01/2016","01/01/2016","Kolkata","PCT NATIONAL PHASE APPLICATION","693/KOLNP/2010","23/02/2010","METHOD OF RETRANSMISSION TO REDUCE THE OVERHEAD","ELECTRONICS","68","15","19/04/2023"
