PUBLICATION_NUMBER,PUBLICATION_DATE,IPO_LOCATION,APPLICATION_TYPE_DESC,APPLICATION_NUMBER,DATE_OF_FILING,TITLE_OF_INVENTION,FIELD_OF_INVENTION,NO_OF_PAGES,NO_OF_CLAIMS,DATE_UPDATED_d_m_y
Jan-23,6/1/2023,Chennai,PCT NATIONAL PHASE APPLICATION,1068/CHENP/2013,8/2/2013,SYSTEMS AND METHODS FOR COOKIE PROXY MANAGEMENT ACROSS CORES IN A MULTI CORE SYSTEM,COMPUTER,175,20,19/04/2023
Jan-23,6/1/2023,Mumbai,PCT NATIONAL PHASE APPLICATION,107/MUMNP/2014,17/01/2014,METHOD FOR IMPROVEMENT OF CASTING QUALITY,METALLURGY,20,16,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10713/DELNP/2014,15/12/2014,METHOD FOR TERMINAL INACTIVATION OF PATHOGENIC MICROORGANISMS,BIOMEDICAL,20,11,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10743/DELNP/2013,13/12/2013,ALTERNATIVE METHOD FOR DISMANTLING SOLID PROPELLANT MOTORS,MECHANICAL,24,8,19/04/2023
Jan-23,6/1/2023,Chennai,PCT NATIONAL PHASE APPLICATION,10755/CHENP/2012,24/12/2012,INDOOR PERSONAL RELAY,COMMUNICATION,111,146,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10773/DELNP/2014,17/12/2014,LAVER SNACK MADE OF LAYER AND CEREAL SHEETS AND PROCESS OF PRODUCING THE SAME,FOOD,14,19,19/04/2023
Jan-23,6/1/2023,Mumbai,CONVENTION APPLICATION,1079/MUM/2015,27/03/2015,VOICE AND VIDEO WATERMARK FOR EXFILTRATION PREVENTION,COMPUTER,23,10,19/04/2023
Jan-23,6/1/2023,Chennai,PCT NATIONAL PHASE APPLICATION,10800/CHENP/2012,26/12/2012,A METHOD FOR IDENTIFYING NETWORK FUNCTIONS BASED ON USER DATA,COMMUNICATION,68,114,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10882/DELNP/2013,17/12/2013,MACHINE AND METHOD FOR MACHINING ENDS OF CRANKSHAFTS,MECHANICAL,22,13,19/04/2023
Jan-23,6/1/2023,Delhi,ORDINARY APPLICATION,1091/DEL/2013,11/4/2013,A MULTIFUNCTION DEVICE FOR MEASUREMENT AND DIRECT DISPLAY OF HEIGHT AND TIME OF FREE FALL WITH AUTO RANGING STOPWATCH.,PHYSICS,17,10,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10912/DELNP/2013,18/12/2013,REAL TIME ON CHIP TEXTURE DECOMPRESSION USING SHADER PROCESSORS,COMPUTER,29,20,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10937/DELNP/2015,30/11/2015,SYSTEM AND METHOD FOR DATA PROCESSING,COMPUTER,27,14,19/04/2023
Jan-23,6/1/2023,Mumbai,PCT NATIONAL PHASE APPLICATION,1098/MUMNP/2014,3/6/2014,TAMPER EVIDENT CLOSURE,MECHANICAL,15,13,19/04/2023
Jan-23,6/1/2023,Delhi,CONVENTION APPLICATION,1104/DEL/2012,11/4/2012,"""LENS BARREL AND IMAGE CAPTURING APPARATUS""",PHYSICS,44,17,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,1104/DELNP/2015,11/2/2015,GASTROINTESTINAL IMPLANT DEVICE,MECHANICAL,32,68,19/04/2023
Jan-23,6/1/2023,Chennai,PCT NATIONAL PHASE APPLICATION,1117/CHENP/2015,25/02/2015,CONTROLLER DEFINITION OF A ROBOTIC REMOTE CENTER OF MOTION,MECHANICAL,22,20,19/04/2023
Jan-23,6/1/2023,Kolkata,ORDINARY APPLICATION,1117/KOL/2015,29/10/2015,"""AN APPARATUS FOR PROCESSING OF NANOCRYSTALLINE MATERIALS BY THERMO-VIBRATIONAL ANNEALING""",METALLURGY,19,8,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,11232/DELNP/2013,27/12/2013,CHARACTER REGION PIXEL IDENTIFICATION DEVICE AND METHOD THEREOF,PHYSICS,26,14,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,11249/DELNP/2012,26/12/2012,METHOD FOR DETERMINING A CORRECTION CHARACTERISTIC CURVE,MECHANICAL,21,10,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,11262/DELNP/2014,31/12/2014,HIGH STRENGTH HOT DIP GALVANIZED STEEL SHEET HAVING EXCELLENT MOLDABILITY AND SHAPE FIXABILITY  AND METHOD FOR MANUFACTURING SAME,METALLURGY,40,7,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,11269/DELNP/2013,27/12/2013,METHOD AND DEVICE FOR SERIAL DATA TRANSMISSION HAVING A FLEXIBLE MESSAGE SIZE AND A VARIABLE BIT LENGTH,COMMUNICATION,29,21,19/04/2023
Jan-23,6/1/2023,Chennai,CONVENTION APPLICATION,1127/CHE/2012,26/03/2012,HYDRAULIC SHOCK ABSORBER,MECHANICAL,19,8,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,11345/DELNP/2015,12/12/2015,COOLING SYSTEM,MECHANICAL,38,15,19/04/2023
Jan-23,6/1/2023,Chennai,CONVENTION APPLICATION,1146/CHE/2012,27/03/2012,MOTORCYCLE TIRE,MECHANICAL,38,6,19/04/2023
Jan-23,6/1/2023,Delhi,CONVENTION APPLICATION,1154/DEL/2011,19/04/2011,“BURNER FOR PRODUCING POROUS GLASS PREFORM”,MECHANICAL,18,2,19/04/2023
Jan-23,6/1/2023,Kolkata,ORDINARY APPLICATION,1158/KOL/2010,19/10/2010,A SYSTEM AND A METHOD FOR SIMULTANEOUS COLLECTION OF LIQUID STEEL SAMPLE AND TEMPERATURE DATA,METALLURGY,29,10,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,11720/DELNP/2015,23/12/2015,VACUUM EXPANDED DRY COMPOSITION AND SYRINGE FOR RETAINING SAME,BIOMEDICAL,118,48,19/04/2023
Jan-23,6/1/2023,Mumbai,ORDINARY APPLICATION,1176/MUM/2014,29/03/2014,APPARATUS AND METHOD OF TESTING THE BASIC FUNCTIONALITY AND PROGRAMMING OF THE ELECTRONIC TRIP UNIT OF A MICROPROCESSOR BASED CIRCUIT BREAKER USING A BATTERY OPERATED HAND HELD TEST KIT,ELECTRICAL,27,16,19/04/2023
Jan-23,6/1/2023,Delhi,ORDINARY APPLICATION,1178/DEL/2015,28/04/2015,ADJUSTABLE TEST RIG FOR PERFORMANCE ANALYSIS OF EVAPORATIVE COOLER,MECHANICAL,17,9,19/04/2023
Jan-23,6/1/2023,Mumbai,ORDINARY APPLICATION,1181/MUM/2013,28/03/2013,"""INNOVATIVE ENERGY & WATER CONSERVATION SYSTEM FOR POWER PLANT HAVING WET FLUE GAS DESULPHURISATION SYSTEM""",CHEMISTRY,9,5,19/04/2023
Jan-23,6/1/2023,Mumbai,ORDINARY APPLICATION,1197/MUM/2015,30/03/2015,SHUTTER MECHANISM FOR SWITCHBOARD MODULE,ELECTRICAL,19,3,19/04/2023
Jan-23,6/1/2023,Mumbai,ORDINARY APPLICATION,1199/MUM/2015,30/03/2015,A SHIFTER ASSEMBLY AND A MECHANISM TO CONTROL     REVERSE GEAR ENGAGEMENT IN A VEHICLE,MECHANICAL,28,18,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,1211/DELNP/2013,7/2/2013,PROCESSOR FOR SITUATIONAL ANALYSIS,COMPUTER,32,11,19/04/2023
Jan-23,6/1/2023,Delhi,ORDINARY APPLICATION,123/DEL/2014,16/01/2014,A HERBAL PRODUCT TO AMELIORATE FLUOROSIS IN ANIMALS,CHEMISTRY,30,2,19/04/2023
Jan-23,6/1/2023,Delhi,ORDINARY APPLICATION,1238/DEL/2012,23/04/2012,"""SYNTHESIS OF SILVER NANOPARTICLES FROM THE BARK OF ASHOKA TREE""",CHEMISTRY,13,5,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,1240/DELNP/2012,10/2/2012,"""IMAGE PROCESSING DEVICE AND METHOD""",ELECTRONICS,236,14,19/04/2023
Jan-23,6/1/2023,Delhi,CONVENTION APPLICATION,1254/DEL/2012,23/04/2012,"""BURNER FOR PARTICULATE FUEL""",MECHANICAL,26,15,19/04/2023
Jan-23,6/1/2023,Delhi,ORDINARY APPLICATION,1268/DEL/2013,30/04/2013,AN ANGORA-LYOCELL BLENDED FABRIC FOR FASHION APPARELS,TEXTILE,16,7,19/04/2023
Jan-23,6/1/2023,Chennai,ORDINARY APPLICATION,1294/CHE/2009,3/12/2009,LIFTING MECHANISM USING HYDRAULIC MOTOR AND MULTIPLE WORMS AND WORM WHEEL MACHANISM,MECHANICAL,18,9,19/04/2023
Jan-23,6/1/2023,Chennai,ORDINARY APPLICATION,1303/CHE/2010,10/5/2010,INTELLIGENT DOOR INTERLOCK,ELECTRICAL,13,8,19/04/2023
Jan-23,6/1/2023,Chennai,ORDINARY APPLICATION,1310/CHE/2009,3/12/2009,AN EFFICIENT CONTINUOUS VARIABLE TRANSMISSION SYSTEM,MECHANICAL,14,3,19/04/2023
Jan-23,6/1/2023,Kolkata,PCT NATIONAL PHASE APPLICATION,1368/KOLNP/2014,27/06/2014,RETAINER FOR A TRAY,MECHANICAL,16,15,19/04/2023
Jan-23,6/1/2023,Kolkata,ORDINARY APPLICATION,1372/KOL/2013,4/12/2013,A METHOD FOR WELDING OF WIRE/ROD IN “T” JOINT CONFIGURATION USING RESISTANCE WELDING PROCESS,MECHANICAL,9,2,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,1384/DELNP/2009,27/02/2009,"""HIGH PERFORMANCE BALLISTIC COMPOSITES HAVING IMPROVED FLEXIBILITY AND METHOD OF MAKING THE SAME""",CHEMISTRY,30,33,19/04/2023
Jan-23,6/1/2023,Chennai,ORDINARY APPLICATION,1385/CHE/2013,28/03/2013,A METHOD FOR COMMUNICATING UPDATED SYSTEM INFORMATION,COMPUTER,27,8,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,1386/DELNP/2014,24/02/2014,“OIL LEVEL MEASUREMENT SYSTEM AND METHOD”,MECHANICAL,21,24,19/04/2023
Jan-23,6/1/2023,Kolkata,CONVENTION APPLICATION,1419/KOL/2011,4/11/2011,INTERACTIVE GEOGRAPHIC FEATURE,ELECTRONICS,33,25,19/04/2023
Jan-23,6/1/2023,Mumbai,CONVENTION APPLICATION,1427/MUM/2010,5/5/2010,THREAD STORE FOR A WORKSTATION OF AN OPEN-END SPINNING MACHINE,MECHANICAL,13,4,19/04/2023
Jan-23,6/1/2023,Kolkata,CONVENTION APPLICATION,1432/KOL/2012,19/12/2012,SPEED ADJUSTMENT DEVICE FOR CONVEYOR BELT,PHYSICS,15,5,19/04/2023
Jan-23,6/1/2023,Delhi,CONVENTION APPLICATION,1435/DEL/2012,10/5/2012,"""FLUE GAS LINE SPRAYING APPARATUS""",MECHANICAL,21,17,19/04/2023
Jan-23,6/1/2023,Kolkata,PCT NATIONAL PHASE APPLICATION,1440/KOLNP/2014,9/7/2014,"MOVING IMAGE CODING DEVICE, MOVING IMAGE CODING METHOD, MOVING IMAGE CODING PROGRAM, MOVING IMAGE DECODING DEVICE, MOVING IMAGE DECODING METHOD AND MOVING IMAGE DECODING PROGRAM",ELECTRONICS,189,20,19/04/2023
Jan-23,6/1/2023,Kolkata,PCT NATIONAL PHASE APPLICATION,1478/KOLNP/2014,14/07/2014,MULTI BAND CREST FACTOR REDUCTION,COMMUNICATION,35,18,19/04/2023
Jan-23,6/1/2023,Mumbai,PCT NATIONAL PHASE APPLICATION,1478/MUMNP/2012,14/06/2012,DAMPING DEVICE,MECHANICAL,14,9,19/04/2023
Jan-23,6/1/2023,Delhi,ORDINARY APPLICATION,149/DEL/2014,17/01/2014,TRIPLE POINT ANGLED DRILL,MECHANICAL,23,13,19/04/2023
Jan-23,6/1/2023,Delhi,CONVENTION APPLICATION,1497/DEL/2011,25/05/2011,"""CONNECTING ARRANGEMENT AND METHOD OF FASTENING A BOLT""",MECHANICAL,22,11,19/04/2023
Jan-23,6/1/2023,Delhi,ORDINARY APPLICATION,1503/DEL/2014,5/6/2014,"A NOVEL AND INNOVATIVE DESIGN OF ROAD TOLL PLAZA, ROAD INTERSECTIONS WITH TRAFFIC LIGHTS, ROAD INTERSECTIONS WITH MANUAL TRAFFIC POLICE CONTROL WITHOUT TRAFFIC LIGHTS AND ROAD PICKETS (SECURITY CHECK POINTS,) REFERRED TO AS ROAD TRAFFIC POINTS, ENABLING DRIVERS OF VEHICLES CROSSING SUCH ROAD TRAFFIC POINTS TO SAVE FUEL DURING IDLINGS AS WELL AS INCHING FORWARD PERIODS AND THEREBY REDUCE AIR POLLUTION ALSO AT SUCH ROAD TRAFFIC POINTS.",MECHANICAL,8,3,19/04/2023
Jan-23,6/1/2023,Mumbai,ORDINARY APPLICATION,1503/MUM/2015,10/4/2015,A MULTI-USE BIOPSY DEVICE,BIOMEDICAL,30,24,19/04/2023
Jan-23,6/1/2023,Mumbai,PCT NATIONAL PHASE APPLICATION,1509/MUMNP/2013,6/8/2013,OIL CONTROL RING,MECHANICAL,28,15,19/04/2023
Jan-23,6/1/2023,Delhi,CONVENTION APPLICATION,1527/DEL/2013,22/05/2013,"EXHAUST GAS ANALYZING APPARATUS, EXHAUST GAS ANALYZING SYSTEM AND METHOD OF OPERATING THE SAME",MECHANICAL,40,9,19/04/2023
Jan-23,6/1/2023,Kolkata,ORDINARY APPLICATION,1527/KOL/2011,5/12/2011,SANITARY FUNCTIONAL UNIT,MECHANICAL,40,19,19/04/2023
Jan-23,6/1/2023,Delhi,ORDINARY APPLICATION,1531/DEL/2015,28/05/2015,6- SIX STROKE ENGINE,MECHANICAL,8,2,19/04/2023
Jan-23,6/1/2023,Chennai,CONVENTION APPLICATION,1546/CHE/2014,24/03/2014,CARBURETOR,MECHANICAL,18,3,19/04/2023
Jan-23,6/1/2023,Chennai,PCT NATIONAL PHASE APPLICATION,1547/CHENP/2014,26/02/2014,METHOD FOR SMELTING HIGH ALUMINUM LOW SILICON ULTRAPURE FERRITIC STAINLESS STEEL,METALLURGY,28,9,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,1568/DELNP/2013,20/02/2013,RECLINING DEVICE,MECHANICAL,30,3,19/04/2023
Jan-23,6/1/2023,Chennai,ORDINARY APPLICATION,1570/CHE/2014,24/05/2014,NOVEL SEMISYNTHETIC MENINGOCOCCAL CONJUGATE VACCINE,BIOTECHNOLOGY,30,14,19/04/2023
Jan-23,6/1/2023,Delhi,CONVENTION APPLICATION,1572/DEL/2014,10/6/2014,BATTERY MODULE,ELECTRICAL,32,20,19/04/2023
Jan-23,6/1/2023,Chennai,PCT NATIONAL PHASE APPLICATION,1587/CHENP/2012,21/02/2012,ILLUMINATION DEVICE WITH POWER SOURCE,ELECTRONICS,16,11,19/04/2023
Jan-23,6/1/2023,Mumbai,PCT NATIONAL PHASE APPLICATION,1604/MUMNP/2014,7/8/2014,A COUNTER-FLYING OBJECT SYSTEM,MECHANICAL,68,47,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,1621/DELNP/2013,21/02/2013,TRANSMITTER WITH PREASSEMBLED SYNCHRONIZING RINGS,MECHANICAL,32,23,19/04/2023
Jan-23,6/1/2023,Kolkata,PCT NATIONAL PHASE APPLICATION,1622/KOLNP/2013,23/05/2013,METHOD AND DEVICE FOR PARALLEL PROCESSING OF IMAGES,COMPUTER,34,21,19/04/2023
Jan-23,6/1/2023,Kolkata,PCT NATIONAL PHASE APPLICATION,1636/KOLNP/2014,4/8/2014,HEIGHT ADJUSTABLE SHIPPING CONTAINER,CIVIL,63,23,19/04/2023
Jan-23,6/1/2023,Kolkata,PCT NATIONAL PHASE APPLICATION,1654/KOLNP/2014,8/8/2014,FERRITIC STAINLESS STEEL,METALLURGY,51,5,19/04/2023
Jan-23,6/1/2023,Kolkata,PCT NATIONAL PHASE APPLICATION,1673/KOLNP/2011,21/04/2011,METHOD AND DEVICE FOR MONITORING SUBMARINE CABLE SYSTEM,ELECTRONICS,22,8,19/04/2023
Jan-23,6/1/2023,Chennai,ORDINARY APPLICATION,1678/CHE/2012,30/04/2012,SYSTEMS AND METHODS FOR POWER ASSEMBLY DIAGNOSTICS,PHYSICS,30,20,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,168/DELNP/2014,8/1/2014,CONJUGATING AMINES,BIOCHEMISTRY,93,26,19/04/2023
Jan-23,6/1/2023,Chennai,ORDINARY APPLICATION,1683/CHE/2013,15/04/2013,LOAD BALANCER SYSTEM AND METHOD FOR SERVER/NODES IN CLOUD ENVIROMENT,COMMUNICATION,24,10,19/04/2023
Jan-23,6/1/2023,Chennai,ORDINARY APPLICATION,1687/CHE/2015,31/03/2015,LERCANIDIPINE POLYMERIC NANOPARTICLES AND A COMPOSITION THEREOF,POLYMER,29,9,19/04/2023
Jan-23,6/1/2023,Chennai,ORDINARY APPLICATION,1692/CHE/2015,31/03/2015,AN EQUALIZER FOR OFDM RECEIVER SYSTEM AND A METHOD THEREOF,ELECTRONICS,33,12,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,1700/DELNP/2015,2/3/2015,COMPLEX CHROMOSOME ENGINEERING FOR PRODUCTION OF HUMAN ANTIBODIES IN TRANSGENIC ANIMALS,BIOTECHNOLOGY,242,43,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,1702/DELNP/2014,6/3/2014,A STABILIZING CENTRE CORE FOR STABILIZING A COIL OF DUCT OR CABLE,MECHANICAL,16,17,19/04/2023
Jan-23,6/1/2023,Delhi,ORDINARY APPLICATION,172/DEL/2015,20/01/2015,SELF-ILLUMINATING CHEEK RETRACTOR,BIOMEDICAL,22,10,19/04/2023
Jan-23,6/1/2023,Mumbai,ORDINARY APPLICATION,1736/MUM/2013,15/05/2013,MICROCONTROLLER OPERATED FULLY AUTOMATIC PRECISION DUAL AXES TRACKER FOR HIGH CONENTRATED PHOTOVOLTAIC (CPV) CELL PANELS,ELECTRONICS,15,15,19/04/2023
Jan-23,6/1/2023,Kolkata,PCT NATIONAL PHASE APPLICATION,174/KOLNP/2015,19/01/2015,PHOTOMETRY METHOD AND APPARATUS,ELECTRONICS,38,9,19/04/2023
Jan-23,6/1/2023,Chennai,PCT NATIONAL PHASE APPLICATION,1743/CHENP/2015,25/03/2015,SUPPRESSING WIRELESS BROADCAST/MULTICAST DATA TRANSMISSIONS,ELECTRONICS,45,40,19/04/2023
Jan-23,6/1/2023,Mumbai,PCT NATIONAL PHASE APPLICATION,1748/MUMNP/2013,17/09/2013,MULTI RADIO COEXISTENCE,COMPUTER,43,20,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,175/DELNP/2013,7/1/2013,SPRAY HEAD FOR A DEVICE FOR DISPENSING A FLUID PRODUCT,CHEMISTRY,16,10,19/04/2023
Jan-23,6/1/2023,Chennai,PCT NATIONAL PHASE APPLICATION,1752/CHENP/2013,4/3/2013,MESSAGE QUEUE MANAGEMENT,COMPUTER,27,15,19/04/2023
Jan-23,6/1/2023,Delhi,ORDINARY APPLICATION,1756/DEL/2013,13/06/2013,“CABLE LAYING SYSTEM IN HILLY & ROCKY TERRAIN FOR SOLAR POWER PLANT”,ELECTRICAL,16,9,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,1759/DELNP/2014,7/3/2014,OCEAN THERMAL ENERGY CONVERSION POWER PLANT COLD WATER PIPE CONNECTION,MECHANICAL,84,20,19/04/2023
Jan-23,6/1/2023,Mumbai,PCT NATIONAL PHASE APPLICATION,1759/MUMNP/2012,16/07/2012,"""METHOD AND SYSTEM FOR ENHANCING AN IMAGE""",PHYSICS,60,75,19/04/2023
Jan-23,6/1/2023,Chennai,PCT NATIONAL PHASE APPLICATION,1766/CHENP/2015,26/03/2015,GUIDELINE BASED DECISION SUPPORT,COMPUTER,33,15,19/04/2023
Jan-23,6/1/2023,Mumbai,CONVENTION APPLICATION,1767/MUM/2010,10/6/2010,OPEN - END ROTOR SPINNING MACHINE,TEXTILE,16,8,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,1769/DELNP/2015,4/3/2015,DISPENSING SYSTEM WITH A COMMON DELIVERY PIPE,MECHANICAL,45,22,19/04/2023
Jan-23,6/1/2023,Mumbai,PCT NATIONAL PHASE APPLICATION,1781/MUMNP/2014,8/9/2014,CDIM BINDING PROTEINS AND USES THEREOF,BIOTECHNOLOGY,99,50,19/04/2023
Jan-23,6/1/2023,Chennai,ORDINARY APPLICATION,1782/CHE/2015,3/7/2015,SYSTEM AND METHOD FOR CONTROLLING PHASE ALLIGNMENT OF CLOCK SIGNALS,ELECTRONICS,21,10,19/04/2023
Jan-23,6/1/2023,Kolkata,PCT NATIONAL PHASE APPLICATION,1786/KOLNP/2015,10/6/2015,WOVEN FABRIC FOR AIR BAG,TEXTILE,40,15,19/04/2023
Jan-23,6/1/2023,Mumbai,PCT NATIONAL PHASE APPLICATION,1789/MUMNP/2013,23/09/2013,NICKEL BASED BRAZING FOIL  METHOD FOR PRODUCING A BRAZING FOIL  OBJECT HAVING A BRAZE JOINT  AND METHOD FOR BRAZING,MECHANICAL,35,32,19/04/2023
Jan-23,6/1/2023,Delhi,ORDINARY APPLICATION,180/DEL/2014,21/04/2014,THREE WAY MATRIX GUN,CHEMISTRY,36,23,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,1801/DELNP/2013,28/02/2013,FULL AUTOMATIC GRAVURE PLATE MAKING PROCESSING SYSTEM,METALLURGY,35,6,19/04/2023
Jan-23,6/1/2023,Delhi,CONVENTION APPLICATION,1806/DEL/2013,19/06/2013,ENGINE CONTROL SYSTEM FOR VEHICLE,MECHANICAL,30,5,19/04/2023
