"PUBLICATION_NUMBER","PUBLICATION_DATE","IPO_LOCATION","APPLICATION_TYPE_DESC","APPLICATION_NUMBER","DATE_OF_FILING","TITLE_OF_INVENTION","FIELD_OF_INVENTION","NO_OF_PAGES","NO_OF_CLAIMS","DATE_UPDATED_d_m_y"
"01/2018","05/01/2018","Delhi","ORDINARY APPLICATION","2150/DEL/2004","29/10/2004","""PROCESS OF MAKING STABLE NEEM MELIACIN(S) CONCENTRATES AND PRODUCTS WITH CONTROLLED ACTIVE INGREDIENT RELEASE""","BIOCHEMISTRY","19","23","19/04/2023"
"01/2018","05/01/2018","Kolkata","PCT NATIONAL PHASE APPLICATION","2175/KOLNP/2009","10/06/2009","PROVIDING LOCATION BASED SERVICES FOR MOBILE DEVICES","ELECTRONICS","31","8","19/04/2023"
"01/2018","05/01/2018","Kolkata","PCT NATIONAL PHASE APPLICATION","2260/KOLNP/2010","21/06/2010","CELL SEARCH METHOD FOR MULTI-MODE TELECOMMUNICATION APPARATUS AND SUCH APPARATUS FOR IMPLEMENTING THE METHOD","ELECTRONICS","23","17","19/04/2023"
"01/2018","05/01/2018","Delhi","ORDINARY APPLICATION","2269/DEL/2004","16/11/2004","""A PROCESS FOR PREPARATION OF POLYMER ELECTROLYTE FOR PROTON EXCHANGE MEMBRANE FUEL CELL""","CHEMISTRY","15","8","19/04/2023"
"01/2018","05/01/2018","Mumbai","PCT NATIONAL PHASE APPLICATION","2328/MUMNP/2010","01/11/2010","DUAL LEAF VEHICLE SUSPENSION WITH J-SHAPED SPRING ELEMENT","MECHANICAL","21","20","19/04/2023"
"01/2018","05/01/2018","Mumbai","PCT NATIONAL PHASE APPLICATION","2393/MUMNP/2009","23/12/2009","DEVICE FOR REMOVING DUST FROM PHARMACEUTICAL TABLETS OR CAPSULES","MECHANICAL","27","19","19/04/2023"
"01/2018","05/01/2018","Kolkata","ORDINARY APPLICATION","240/KOL/2010","11/03/2010","PRODUCTION OF CATECHINS FROM NATURAL SOURCES USING MEMBRANE BASED TECHNOLOGY","NA","29","9","19/04/2023"
"01/2018","05/01/2018","Chennai","DIVISIONAL CONVENTION APPLICATION","2405/CHE/2009","01/10/2009","CROSS-LAMINATE OF ORIENTED FILMS, METHOD OF MANUFACTURING SAME, AND COEXTRUSION DIE SUITABLE IN THE PROCESS","POLYMER","49","17","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","2450/DELNP/2009","15/04/2009","""SEALED SINGLE-DOSE BREAK-OPEN PACKAGE, AND PACKING METHOD AND MACHINE FOR PRODUCING A SINGLE-DOSE BREAK-OPEN PACKAGE""","MECHANICAL","34","15","19/04/2023"
"01/2018","05/01/2018","Chennai","PCT NATIONAL PHASE APPLICATION","246/CHENP/2012","06/01/2012","CLOSURE AND CONTAINER HAVING THE SAME","MECHANICAL","33","9","19/04/2023"
"01/2018","05/01/2018","Kolkata","DIVISIONAL PCT NATIONAL PHASE APPLICATION","2468/KOLNP/2009","06/07/2009","A MOLDING DEVICE USED IN A VACUUM SEALED PROCESS","METALLURGY","32","2","19/04/2023"
"01/2018","05/01/2018","Mumbai","ORDINARY APPLICATION","2476/MUM/2008","24/11/2008","STABLE PHARMACEUTICAL COMPOSITION OF OLOPATADINE","CHEMISTRY","14","7","19/04/2023"
"01/2018","05/01/2018","Mumbai","PCT NATIONAL PHASE APPLICATION","2491/MUMNP/2011","23/11/2011","""A COMPOSITION COMPRISING PARTICLES OF INDOMETHACIN""","CHEMISTRY","182","39","19/04/2023"
"01/2018","05/01/2018","Chennai","PCT NATIONAL PHASE APPLICATION","2517/CHENP/2011","15/04/2011","""COMPONENT FOR THE DRILLING AND FOR THE EXPLOITATION OF HYDROCARBON WELLS""","MECHANICAL","20","16","19/04/2023"
"01/2018","05/01/2018","Chennai","PCT NATIONAL PHASE APPLICATION","255/CHENP/2012","06/01/2012","POLYAMIDE-POLYDIENE BLENDS WITH IMPROVED OXYGEN REACTIVITY","POLYMER","31","13","19/04/2023"
"01/2018","05/01/2018","Mumbai","ORDINARY APPLICATION","2559/MUM/2009","04/11/2009","AN IMPROVED PROCESS FOR PREPARATION OF TAXANE DERIVATIVES","CHEMISTRY","17","9","19/04/2023"
"01/2018","05/01/2018","Kolkata","PCT NATIONAL PHASE APPLICATION","2590/KOLNP/2009","14/07/2009","QUALITY SCALABLE VIDEO DATA STREAM","NA","68","21","19/04/2023"
"01/2018","05/01/2018","Mumbai","ORDINARY APPLICATION","2594/MUM/2008","12/12/2008","VERTICAL MUFFLER MOUNTING STRUCTURE FOR VEHICLES","MECHANICAL","15","8","19/04/2023"
"01/2018","05/01/2018","Delhi","CONVENTION APPLICATION","2597/DEL/2010","29/10/2010","ROTOR BLADE WITH DRAINAGE BORE HOLE","MECHANICAL","28","13","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","2600/DELNP/2006","09/05/2006","""METHOD AND APPARATUS FOR REPORTING WLAN CAPABILITIES OF A DUAL MODE GPRS/WLAN OR UMTS/WLAN WTRU""","ELECTRONICS","23","10","19/04/2023"
"01/2018","05/01/2018","Chennai","PCT NATIONAL PHASE APPLICATION","2614/CHENP/2012","21/03/2012","METHOD, DEVICE AND SYSTEM FOR ALLOCATING ADDRESS IN IP NETWORK","ELECTRONICS","15","8","19/04/2023"
"01/2018","05/01/2018","Delhi","CONVENTION APPLICATION","2615/DEL/2008","19/11/2008","""METHOD AND SYSTEM FOR ENHANCED DISPLAY OF TEMPORAL DATA ON PORTABLE DEVICES""","COMPUTER","36","10","19/04/2023"
"01/2018","05/01/2018","Delhi","ORDINARY APPLICATION","2641/DEL/2006","11/12/2006","""HERBAL LARVICIDAL MATRIX & THE PROCESS FOR PREPARATION THEREOF""","CHEMISTRY","11","9","19/04/2023"
"01/2018","05/01/2018","Delhi","CONVENTION APPLICATION","2684/DEL/2008","27/11/2008","""COMMUNICATION METHODS IN A NETWORK""","ELECTRONICS","30","9","19/04/2023"
"01/2018","05/01/2018","Mumbai","PCT NATIONAL PHASE APPLICATION","271/MUMNP/2008","15/02/2008","ANTENNA ARRANGEMENT","ELECTRONICS","28","48","19/04/2023"
"01/2018","05/01/2018","Chennai","PCT NATIONAL PHASE APPLICATION","2727/CHENP/2010","07/05/2010","METHOD FOR PRODUCING A VESSEL CLOSURE","MECHANICAL","25","18","19/04/2023"
"01/2018","05/01/2018","Mumbai","DIVISIONAL PCT NATIONAL PHASE APPLICATION","2732/MUMNP/2011","19/12/2011","""XYLANASE, NUCLEIC ACID ENCODING IT AND METHOD FOR USING THEM""","BIOTECHNOLOGY","265","87","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","2772/DELNP/2012","30/03/2012","""RECYCLING METHOD AND DEVICE FOR RECYCLING WASTE WATER CONTAINING SLURRY FROM A SEMI-CONDUCTOR TREATMENT PROCESS, IN PARTICULAR FROM A CHEMICO-MECHANICAL POLISHING PROCESS""","CHEMISTRY","28","12","19/04/2023"
"01/2018","05/01/2018","Kolkata","PCT NATIONAL PHASE APPLICATION","2781/KOLNP/2009","30/07/2009","CUTTING DEVICE","MECHANICAL","22","15","19/04/2023"
"01/2018","05/01/2018","Delhi","CONVENTION APPLICATION","2797/DEL/2010","25/11/2010","LOWER STRUCTURE OF VEHICLE BODY REAR PART","MECHANICAL","24","4","19/04/2023"
"01/2018","05/01/2018","Kolkata","ORDINARY APPLICATION","280/KOL/2011","04/03/2011","A NOVEL DEVICE FOR HIGH DISSOLVED OXYGEN VENTING IN DEAERATORS","CHEMISTRY","14","6","19/04/2023"
"01/2018","05/01/2018","Kolkata","PCT NATIONAL PHASE APPLICATION","2808/KOLNP/2009","03/08/2009","APPARATUS FOR MONITORING DISCHARGE PROCESSES IN A CONDUCTOR OF A MEDIUM-VOLTAGE OR HIGH-VOLTAGE SYSTEM","ELECTRICAL","29","13","19/04/2023"
"01/2018","05/01/2018","Chennai","CONVENTION APPLICATION","2822/CHE/2010","25/09/2010","PORTABLE ELECTRONIC DEVICE AND METHOD OF CONTROLLING SAME","ELECTRONICS","19","15","19/04/2023"
"01/2018","05/01/2018","Chennai","PCT NATIONAL PHASE APPLICATION","2823/CHENP/2011","26/04/2011","METHOD FOR THE MANUFACTURE OF POLY(ARYL ETHER KETONE)S IN THE PRESENCE OF SODIUM CARBONATE","POLYMER","46","14","19/04/2023"
"01/2018","05/01/2018","Kolkata","PCT NATIONAL PHASE APPLICATION","2838/KOLNP/2011","07/07/2011","PROCESS FOR PRODUCING DIBENZOXEPIN COMPOUND","CHEMISTRY","19","12","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","2937/DELNP/2008","09/04/2008","""METHOD FOR PRODUCING A TUBULAR TARGET""","METALLURGY","16","20","19/04/2023"
"01/2018","05/01/2018","Chennai","PCT NATIONAL PHASE APPLICATION","2939/CHENP/2012","30/03/2012","A COOLING SYSTEM FOR AN ELECTRICAL MACHINE","ELECTRICAL","14","12","19/04/2023"
"01/2018","05/01/2018","Kolkata","ORDINARY APPLICATION","295/KOL/2007","28/02/2007","""COMPOSITION AND METHOD FOR RIPENING OF BANANA OR MANGO""","FOOD","19","10","19/04/2023"
"01/2018","05/01/2018","Chennai","PCT NATIONAL PHASE APPLICATION","301/CHENP/2009","19/01/2009","""A TOMOGRAPHIC APPARATUS AND A METHOD FOR COMPUTED TOMOGRAPHY (CT) RECONSTRUCTION""","PHYSICS","24","29","19/04/2023"
"01/2018","05/01/2018","Mumbai","ORDINARY APPLICATION","312/MUM/2005","22/03/2005","HIGH SECURITY PAPER AND PROCESS OF MANUFACTURE","TEXTILE","43","32","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","3239/DELNP/2007","30/04/2007","A ZONE THERMOSTAT","ELECTRONICS","64","125","19/04/2023"
"01/2018","05/01/2018","Mumbai","PCT NATIONAL PHASE APPLICATION","327/MUMNP/2011","18/02/2011","“HALO-HYDROCARBON POLYMER COATING”","ELECTRONICS","91","71","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","3291/DELNP/2007","01/05/2007","METHOD AND APPARATUS FOR CONTEXT-BASED PREFIX UPDATES IN BORDER GATEWAY PROTOCOL","COMPUTER","37","41","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","3335/DELNP/2013","15/04/2013","ETHYNYLPHENYLAMIDINE COMPOUND OR SALT THEREOF  METHOD FOR PRODUCING SAME  AND FUNGICIDE FOR AGRICULTURAL AND HORTICULTURAL USE","CHEMISTRY","87","11","19/04/2023"
"01/2018","05/01/2018","Chennai","DIVISIONAL PCT NATIONAL PHASE APPLICATION","3357/CHENP/2009","12/06/2009","METHODS FOR FORWARD ERROR CORRECTION CODING ABOVE A RADIO LINK CONTROL LAYER AND RELATED APPARATUS","ELECTRONICS","85","14","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","3366/DELNP/2011","06/05/2011","'SEPERATION METHOD AND APPARATUS FOR IMMISCIBLE FLUIDS""","CHEMISTRY","27","16","19/04/2023"
"01/2018","05/01/2018","Kolkata","PCT NATIONAL PHASE APPLICATION","3574/KOLNP/2008","02/09/2008","SAWING DEVICE","MECHANICAL","17","13","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","3590/DELNP/2011","13/05/2011","""HIGH-TRANSPARENCY POLYCARBONATES WITH SCRATCH-RESISTANT COATING, PROCESS FOR PRODUCTION THEREOF AND USE THEREOF""","POLYMER","39","15","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","362/DELNP/2010","18/01/2010","METHOD FOR STICKING A FILM ONTO A CURVED SUBSTRATE","MECHANICAL","37","23","19/04/2023"
"01/2018","05/01/2018","Kolkata","PCT NATIONAL PHASE APPLICATION","3667/KOLNP/2010","01/10/2010","LIQUEFIER FOR A HEAT PUMP AND HEAT PUMP","MECHANICAL","48","34","19/04/2023"
